Designator,Mid X,Mid Y,Rotation,Layer
C1,145.8,-42.75,90,top
C10,135.9,-41.7,90,top
C11,126.6,-44,180,top
C12,137.1,-48.4,0,top
C13,126.5,-48.4,180,top
C14,132.42,-53.3,270,top
C15,137.1,-44.45,0,top
C16,137.1,-43.4,0,top
C2,129.9,-54.6,0,top
C3,133.1,-57.25,270,top
C4,141,-42.75,90,top
C5,127.75,-34.8,0,top
C6,130.6,-40.1,90,top
C7,133.45,-53.3,270,top
C8,134.85,-40.7,90,top
C9,131.65,-40.7,90,top
J1,223.13,-35.4575,180,top
R1,121.65,-43.6,270,top
R2,118,-36.4,0,top
R3,132.7,-40.7,270,top
R4,133.78,-40.7,270,top
R5,131.4,-54.15,90,top
R6,142.15,-38.249999,180,top
R7,146.55,-38.699999,270,top
SW1,57.75,-39.75,90,top
SW10,148.86,-65.11,0,bottom
SW11,175.42,-53.58,0,bottom
SW12,204.39,-53.46,0,bottom
SW13,233.36,-53.7,0,bottom
SW14,143.25,-96.15,0,bottom
SW15,169.86,-85.04,0,bottom
SW16,198.71,-85.04,0,bottom
SW17,227.92,-85.04,0,bottom
SW18,131.42,-129.62,0,bottom
SW19,112.9,-57.05,90,top
SW2,67.75,-39.75,90,top
SW20,120.05,-57.05,270,top
SW21,97,-39.75,90,top
SW3,77.75,-39.75,90,top
SW4,87.5,-39.75,90,top
SW5,105.5,-117.75,0,bottom
SW6,158.5,-117.75,0,bottom
SW7,58.225,-65.05,0,bottom
SW8,87.32,-65.17,0,bottom
SW9,113.92,-76.52,0,bottom
U1,143.4,-42.25,0,top
U2,124.05,-38.3,270,top
U3,131.85,-47.4,0,top
USB1,145,-28.699999,180,top
Y1,130.75,-57.25,270,top
